_id,culture,name,religion,Degree,Deg Cent,Close Cent,Betw Cent,Eigenvector,PageRank
1181,norse,Skrauti,catholic,1.0,0.003968253968253968,0.2452595729013255,0.0,0.004376961814842234,0.0010150437062202444
2019,saxon,Kiil,catholic,2.0,0.007936507936507936,0.318796362766212,0.0,0.02575957495569303,0.0014992205176086158
2037,saxon,Holter,catholic,9.0,0.03571428571428571,0.3625170068027211,0.014671682005992307,0.05816338659810004,0.006187596315149976
3113,irish,Ceiteach,catholic,1.0,0.003968253968253968,0.1984582154029495,0.0,8.736753391821027e-05,0.0013797524229729264
3099,scottish,Grannd,catholic,1.0,0.003968253968253968,0.2661838161838162,0.0,0.011037226567962643,0.0016654855484557348
4010,saxon,Clifford,catholic,1.0,0.003968253968253968,0.2530870060790274,0.0,0.0018727172493631617,0.001082960155816558
4013,saxon,Carew,catholic,8.0,0.031746031746031744,0.36114123068582277,0.013031403228053344,0.06820090470221457,0.006376869845899821
4019,saxon,de Ros,catholic,3.0,0.011904761904761904,0.31149169978957214,0.0006306711748327374,0.021902290834483935,0.002563937702515498
4021,saxon,Howard,catholic,6.0,0.023809523809523808,0.328707130520602,0.001216374468137804,0.05993172674701268,0.006605528990790184
4022,saxon,Maudit,catholic,1.0,0.003968253968253968,0.18677274639001823,0.0,1.651854777775263e-05,0.0017999324146831057
4043,irish,Ua Domnaill,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
4045,irish,Ua Máil Eóin,catholic,1.0,0.003968253968253968,0.1984582154029495,0.0,8.736753391821027e-05,0.0013797524229729264
4046,irish,FitzPatrick,catholic,7.0,0.027777777777777776,0.3145808736717828,0.015013781028741196,0.019822520462966484,0.005198224004243893
5004,frankish,de la Rochefoucauld,catholic,1.0,0.003968253968253968,0.2661838161838162,0.0,0.0055186132839813214,0.001129185461974903
5056,frankish,de Mayenne,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.014185701824205792,0.0010919328632815468
5060,frankish,d'Avesnes,catholic,6.0,0.023809523809523808,0.3454109411459684,0.004982600460945368,0.03391371950137536,0.004147849220981919
5062,frankish,Clément,catholic,3.0,0.011904761904761904,0.2807100716392752,0.0,0.009633864965937136,0.0026759771039754124
5071,frankish,de Melun,catholic,5.0,0.01984126984126984,0.3447851966873706,0.0037816500605953457,0.042770150314349484,0.00364528249927025
5078,frankish,de Voisins,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.014185701824205792,0.0010919328632815468
8601,visigothic,de Cantabria,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.014185701824205792,0.0010919328632815468
9200,irish,Ua Cearbhaill,catholic,1.0,0.003968253968253968,0.24337778589696749,0.0,0.0010915521793194915,0.0012236999548660395
9201,irish,Mac Mathgamna,catholic,10.0,0.03968253968253968,0.31773193417600765,0.022472800321023386,0.019771624705466572,0.007587524149409458
9204,irish,Ua Flaithbertaig,catholic,1.0,0.003968253968253968,0.19661304604486424,0.0,0.00012163000196038463,0.0013681088546764596
9207,irish,Ua Maíl Ruanaid,catholic,6.0,0.023809523809523808,0.28619763694951666,0.0037934618366978743,0.008031132570088044,0.004223876642817648
9208,irish,Ua Cheinnselaig,catholic,10.0,0.03968253968253968,0.3454109411459684,0.0028531903869706914,0.057468155524913106,0.005522725320681243
9211,irish,Ua Fáeláin,catholic,21.0,0.08333333333333333,0.3564071696094168,0.04735640740240668,0.057730308038280165,0.016144729729469082
9212,irish,Ua Cáellaíde,catholic,2.0,0.007936507936507936,0.2514153613889413,0.0001200995472845654,0.0013896715506011644,0.0018148321731506168
9215,irish,Ua Rubann,catholic,5.0,0.01984126984126984,0.327012763868434,0.002038059476347635,0.03489743772213078,0.00369220839843149
9216,irish,Ua Briúin Aí,catholic,7.0,0.027777777777777776,0.2919040315512708,0.0006897486201401948,0.05388422727407318,0.0045854353646532725
9217,irish,Cétchathach,pagan,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
9218,irish,Ua Briúin Bréifne,catholic,60.0,0.23809523809523808,0.45206990159484217,0.19897957161068178,0.30472754428685755,0.04777509478260488
9220,irish,Ua Conchobar Sligig,catholic,20.0,0.07936507936507936,0.3151017029328288,0.05346598823104616,0.055046953913585626,0.017234899199319538
9222,irish,Ua Conchobar Donn,catholic,1.0,0.003968253968253968,0.23613080467919179,0.0,0.0011537445575399517,0.0011845698205924526
9223,scottish,Mac Gabráin,catholic,5.0,0.01984126984126984,0.31302866541353386,0.0003535225569085014,0.02944729124707493,0.0027234742851985497
9225,irish,Eóganacht-Chaisil,catholic,24.0,0.09523809523809523,0.34107782898105476,0.04128647691984599,0.1349392924073622,0.017882131417230135
9228,irish,Eóganacht-Raithlind,catholic,4.0,0.015873015873015872,0.3120023419203747,0.0,0.03756264396747247,0.002215947855464832
9230,irish,Eóganacht-Locha Léin,pagan,78.0,0.30952380952380953,0.4488712938005391,0.30745772014159656,0.43732317178865393,0.07457023296318384
9231,irish,Mac Finnachta,catholic,36.0,0.14285714285714285,0.38294050014371944,0.13605623230240968,0.17010685390787048,0.041641854616992734
12110,german,Unruochinger,catholic,2.0,0.007936507936507936,0.25376190476190474,0.006893062669955099,0.003749380241872894,0.0027358574140258687
14100,irish,Ua Báegill,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
14101,irish,Ua Dúngaile,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
14103,irish,Ua hEchtigirn,catholic,1.0,0.003968253968253968,0.25546500479386386,0.0,0.0022123096702806253,0.0010856925199593105
14105,irish,Barry,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
14109,irish,Burke,catholic,18.0,0.07142857142857142,0.38841107871720115,0.03743402180404157,0.07021091956601001,0.01371403543973844
14111,irish,Ua Cathail,catholic,5.0,0.01984126984126984,0.29325335681267883,0.00026357462997457634,0.02021942457930413,0.004033577787676628
14114,irish,Ua Cathasaigh,catholic,19.0,0.07539682539682539,0.36045725108225113,0.05802297605037104,0.11895078396497964,0.021769781401074214
14115,irish,Ua Flannchaid,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.028371403648411585,0.0015909803510690222
14116,irish,Ua Cleirigh,catholic,9.0,0.03571428571428571,0.30500228937728935,0.015403563406137513,0.023233303641517197,0.0073128745376414535
14120,irish,Ua Dimasaigh,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
14121,irish,Ua Dubgaill,catholic,10.0,0.03968253968253968,0.29325335681267883,0.013957661417820778,0.04066455649734951,0.008165201971764232
14256,welsh,Rhufoniog,catholic,2.0,0.007936507936507936,0.30402784116841625,0.0012803522861881504,0.014827043848529078,0.0016781763669817009
14260,welsh,Meilyr,catholic,2.0,0.007936507936507936,0.3074659589199169,0.0,0.021458406426631892,0.0014415298928646158
14261,welsh,Mochnant,catholic,9.0,0.03571428571428571,0.3798830909609353,0.020131843738146527,0.10101221527242454,0.0093726342095406
14284,welsh,Rhos,catholic,8.0,0.031746031746031744,0.3531009806520011,0.002798457329881402,0.20220377076985557,0.010267648859752093
14285,welsh,Crwthor,catholic,1.0,0.003968253968253968,0.2964508233199822,0.0,0.014185701824205792,0.0010919328632815468
20016,breton,de Nantes,catholic,1.0,0.003968253968253968,0.2978426112228929,0.0,0.009884533295144654,0.0010342422385375468
20017,breton,Leon,catholic,4.0,0.015873015873015872,0.34857404500261646,0.0065528482633706656,0.038267320350385776,0.0031847492871386806
20137,breton,de Vannes,catholic,8.0,0.031746031746031744,0.3724489795918367,0.013918199085306119,0.08553573288392177,0.00875619371901932
20124,breton,Breizh,catholic,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
20129,breton,Tanguy,sunni,1.0,0.003968253968253968,0.23153458463677443,0.0,0.0017857022923430592,0.0010980034896241097
25060,frankish,de Chaumontois,catholic,6.0,0.023809523809523808,0.323675898931001,0.014812341964742369,0.035568121284923475,0.00487231456657348
25061,old_frankish,Karling,catholic,4.0,0.015873015873015872,0.34230472764645425,0.005984897207068255,0.05393237929449529,0.004658619306988657
100003,irish,Eóganachta,pagan,1.0,0.003968253968253968,0.003968253968253968,0.0,8.007186832693638e-36,0.003952569169960474
