_id,culture,name,religion,Degree,Deg Cent,Close Cent,Betw Cent,Eigenvector,PageRank
10300837,lombard,Walpertingi,catholic,3.0,0.0003099173553719008,0.21296554915838162,1.7846134982037327e-07,1.525354219558427e-05,3.004396663335057e-05
10300851,rajput,Kshemrajid,sunni,2.0,0.00020661157024793388,0.22103068879349957,1.336725951606311e-07,0.0003053265692442373,2.829550576653724e-05
10300853,bedouin_arabic,Aarifid,sunni,3.0,0.0003099173553719008,0.21303023608955585,2.1267869899070745e-07,0.00014749898445761198,3.1545191170038686e-05
10300854,khazar,Yençepi,sunni,29.0,0.002995867768595041,0.27238609415464055,0.002040668463600863,0.00040287706024403665,0.00025649756769654635
10300856,kannada,Obayammid,hindu,1.0,0.00010330578512396694,0.19211526518421482,0.0,4.3697883663319166e-05,1.8984140869723872e-05
10300887,old_saxon,of Lüneburg,norse_pagan,1.0,0.00010330578512396694,0.19876214574286383,0.0,5.772419107609411e-07,2.1005915622332195e-05
10300893,persian,Ardavan,sunni,3.0,0.0003099173553719008,0.22573182966393315,3.532837072306898e-07,0.0005309114589601504,2.7105916530889255e-05
10300894,persian,Ganjnamid,sunni,4.0,0.00041322314049586776,0.22435981918293035,4.49847915051188e-08,0.0005929591354009608,3.153398453554965e-05
10300901,maghreb_arabic,Rhedadou,sunni,1.0,0.00010330578512396694,0.2043209812141022,0.0,1.2663653516489832e-05,1.9490372761087183e-05
10300902,lombard,Lotharling,catholic,2.0,0.00020661157024793388,0.19962015932236152,0.0,4.107157330797442e-06,2.6159972831448785e-05
10300909,assamese,Vasumati,hindu,1.0,0.00010330578512396694,0.18780259600102833,0.0,2.0463084314052017e-05,2.0797062707070897e-05
10300914,bedouin_arabic,Matammid,sunni,2.0,0.00020661157024793388,0.2120319839062324,0.0,3.3837274617724605e-05,2.2937608799786555e-05
10300920,saxon,Eadwulfing,catholic,1.0,0.00010330578512396694,0.19236995513577332,0.0,1.1233324458926175e-07,2.3308770196215136e-05
10300921,bedouin_arabic,Qawurdid,sunni,1.0,0.00010330578512396694,0.21793426736729202,0.0,8.073368062737456e-05,1.9121158883338224e-05
